slug,name,name_genitive,capital,population,councilor_count,status,voivodeship
plocki,płocki,Płockiego,Płock,109144,23,planned,mazowieckie
plonski,płoński,Płońskiego,Płońsk,83436,21,planned,mazowieckie
poddebicki,poddębicki,Poddębickiego,Poddębice,39169,15,planned,łódzkie
policki,policki,Polickiego,Police,86834,21,planned,zachodniopomorskie
polkowicki,polkowicki,Polkowickiego,Polkowice,60913,19,planned,dolnośląskie
poznanski,poznański,Poznańskiego,Poznań,454283,29,planned,wielkopolskie
proszowicki,proszowicki,Proszowickiego,Proszowice,41929,17,planned,małopolskie
prudnicki,prudnicki,Prudnickiego,Prudnik,50875,17,planned,opolskie
pruszkowski,pruszkowski,Pruszkowskiego,Pruszków,181026,29,planned,mazowieckie
przasnyski,przasnyski,Przasnyskiego,Przasnysz,48615,17,planned,mazowieckie
przemyski,przemyski,Przemyskiego,Przemyśl,70688,19,planned,podkarpackie
przeworski,przeworski,Przeworskiego,Przeworsk,75370,19,planned,podkarpackie
przysuski,przysuski,Przysuskiego,Przysucha,38291,15,planned,mazowieckie
pszczynski,pszczyński,Pszczyńskiego,Pszczyna,110722,23,planned,śląskie
pucki,pucki,Puckiego,Puck,92383,21,planned,pomorskie
pulawski,puławski,Puławskiego,Puławy,106181,23,planned,lubelskie
pultuski,pułtuski,Pułtuskiego,Pułtusk,50163,17,planned,mazowieckie
pyrzycki,pyrzycki,Pyrzyckiego,Pyrzyce,35991,15,planned,zachodniopomorskie
raciborski,raciborski,Raciborskiego,Racibórz,98665,21,planned,śląskie
radomski,radomski,Radomskiego,Radom,151367,27,planned,mazowieckie
radomszczanski,radomszczański,Radomszczańskiego,Radomsko,105623,23,planned,łódzkie
radziejowski,radziejowski,Radziejowskiego,Radziejów,37331,15,planned,kujawsko-pomorskie
radzynski,radzyński,Radzyńskiego,Radzyń Podlaski,54531,17,planned,lubelskie
rawicki,rawicki,Rawickiego,Rawicz,58338,17,planned,wielkopolskie
rawski,rawski,Rawskiego,Rawa Mazowiecka,45664,17,planned,łódzkie
ropczycko-sedziszowski,ropczycko-sędziszowski,Ropczycko-Sędziszowskiego,Ropczyce,74083,19,planned,podkarpackie
rybnicki,rybnicki,Rybnickiego,Rybnik,76250,19,planned,śląskie
rycki,rycki,Ryckiego,Ryki,50898,17,planned,lubelskie
rypinski,rypiński,Rypińskiego,Rypin,40798,17,planned,kujawsko-pomorskie
rzeszowski,rzeszowski,Rzeszowskiego,Rzeszów,176821,29,planned,podkarpackie
sandomierski,sandomierski,Sandomierskiego,Sandomierz,70999,19,planned,świętokrzyskie
sanocki,sanocki,Sanockiego,Sanok,89001,21,planned,podkarpackie
sejnenski,sejneński,Sejneńskiego,Sejny,18434,15,planned,podlaskie
sepolenski,sępoleński,Sępoleńskiego,Sępólno Krajeńskie,38633,15,planned,kujawsko-pomorskie
siedlecki,siedlecki,Siedleckiego,Siedlce,80446,21,planned,mazowieckie
siemiatycki,siemiatycki,Siemiatyckiego,Siemiatycze,40212,17,planned,podlaskie
sieradzki,sieradzki,Sieradzkiego,Sieradz,110665,23,planned,łódzkie
sierpecki,sierpecki,Sierpeckiego,Sierpc,47742,17,planned,mazowieckie
skarzyski,skarżyski,Skarżyskiego,Skarżysko-Kamienna,67152,19,planned,świętokrzyskie
skierniewicki,skierniewicki,Skierniewickiego,Skierniewice,37670,15,planned,łódzkie
slawienski,sławieński,Sławieńskiego,Sławno,52394,17,planned,zachodniopomorskie
slubicki,słubicki,Słubickiego,Słubice,45679,17,planned,lubuskie
slupecki,słupecki,Słupeckiego,Słupca,56994,17,planned,wielkopolskie
slupski,słupski,Słupskiego,Słupsk,95888,21,planned,pomorskie
sochaczewski,sochaczewski,Sochaczewskiego,Sochaczew,82854,21,planned,mazowieckie
sokolowski,sokołowski,Sokołowskiego,Sokołów Podlaski,49551,17,planned,mazowieckie
sokolski,sokólski,Sokólskiego,Sokółka,60592,19,planned,podlaskie
sredzki-dolnoslaski,średzki,Średzkiego,Środa Śląska,59713,17,planned,dolnośląskie
sredzki-wielkopolski,średzki,Średzkiego,Środa Wielkopolska,60058,19,planned,wielkopolskie
sremski,śremski,Śremskiego,Śrem,60939,19,planned,wielkopolskie
stalowowolski,stalowowolski,Stalowowolskiego,Stalowa Wola,100034,23,planned,podkarpackie
starachowicki,starachowicki,Starachowickiego,Starachowice,82681,21,planned,świętokrzyskie
stargardzki,stargardzki,Stargardzkiego,Stargard,118844,23,planned,zachodniopomorskie
starogardzki,starogardzki,Starogardzkiego,Starogard Gdański,124774,25,planned,pomorskie
